Matrix,M,N,NZ,Mode,Threads,AvgTime(ms),MedianTime(ms),BestTime(ms),AvgGFlops,MedianGFlops,BestGFlops,Passed,Iterations
mhda416,416,416,8562,ompHLL,34,0.049641,0.046754,0.033937,0.344955,0.366258,0.504581,1,5
mhda416,416,416,8562,serial,1,0.009451,0.009415,0.009393,1.811916,1.818895,1.823043,1,5
mhda416,416,416,8562,ompCSR,34,0.030844,0.030380,0.029124,0.555172,0.563661,0.587969,1,5
mhda416,416,416,8562,ompHLL,34,0.048457,0.045239,0.034999,0.353389,0.378527,0.489271,1,5
ML_Laplace,377002,377002,27689972,serial,1,32.521991,32.499012,32.432389,1.702846,1.704050,1.707551,1,5
ML_Laplace,377002,377002,27689972,ompCSR,34,14.532880,14.328096,13.263002,3.810666,3.865129,4.175521,1,5
ML_Laplace,377002,377002,27689972,ompHLL,34,15.119300,15.179857,13.604942,3.662864,3.648252,4.070576,1,5
nlpkkt80,1062400,1062400,28704672,serial,1,33.711577,33.504288,33.462381,1.702956,1.713492,1.715638,1,5
nlpkkt80,1062400,1062400,28704672,ompCSR,34,16.572182,16.692757,15.833167,3.464199,3.439177,3.625891,1,5
nlpkkt80,1062400,1062400,28704672,ompHLL,34,17.016203,17.081981,16.351078,3.373805,3.360813,3.511043,1,5
olafu,16146,16146,1015156,serial,1,1.109370,1.100653,1.099996,1.830148,1.844643,1.845745,1,5
olafu,16146,16146,1015156,ompCSR,34,0.239765,0.259932,0.156664,8.467914,7.810949,12.959654,1,5
olafu,16146,16146,1015156,ompHLL,34,3.388712,3.381778,2.867469,0.599140,0.600368,0.708050,1,5
olm1000,1000,1000,3996,serial,1,0.004562,0.004562,0.004541,1.751865,1.752055,1.759960,1,5
olm1000,1000,1000,3996,ompCSR,34,0.041455,0.041324,0.039167,0.192787,0.193399,0.204049,1,5
olm1000,1000,1000,3996,ompHLL,34,0.037845,0.034130,0.026390,0.211179,0.234160,0.302841,1,5
PR02R,161070,161070,8185136,serial,1,9.752061,9.750128,9.742753,1.678647,1.678980,1.680251,1,5
PR02R,161070,161070,8185136,ompCSR,34,4.339031,4.375776,4.156431,3.772795,3.741113,3.938540,1,5
PR02R,161070,161070,8185136,ompHLL,34,7.794194,7.566220,7.293982,2.100316,2.163600,2.244353,1,5
raefsky2,3242,3242,294276,serial,1,0.359594,0.361660,0.349395,1.636712,1.627363,1.684489,1,5
raefsky2,3242,3242,294276,ompCSR,34,0.063038,0.062435,0.056086,9.336391,9.426637,10.493743,1,5
raefsky2,3242,3242,294276,ompHLL,34,0.945388,1.009320,0.706259,0.622551,0.583117,0.833337,1,5
rdist2,3198,3198,56934,serial,1,0.055933,0.054656,0.054525,2.035775,2.083340,2.088364,1,5
